ss1,ss2,ss3
3.5837353736451456e-5,1.1014360877102828e-5,3.201486192799684e-5
9.504470951565734e-6,3.8382968125400835e-6,2.3452752355512852e-5
9.90940480050264e-6,4.706035476393602e-6,8.447642129577154e-6
1.1059767857188628e-5,1.4072648310304396e-5,7.829260477238509e-6
2.6559323105153694e-5,3.2879068934347776e-6,4.695847531704334e-6
3.950944549410117e-5,6.514545362700471e-6,4.3560754838265816e-5
2.094481046538288e-5,3.006342008123896e-5,3.113609549052683e-5
3.1666466378387445e-5,8.038331039700766e-5,2.1794962956328824e-5
2.5976551436045125e-5,2.3360032222696665e-5,1.605686081208042e-5
2.798567898894431e-5,5.5736500357975525e-6,1.8120166261718202e-5
1.3798966912601193e-5,1.6092110295849298e-5,5.136197839115739e-6
2.772348231622918e-5,2.3956711588326863e-5,1.4191468102286733e-5
1.4233166013125294e-5,2.6334740478622984e-5,7.936545567742909e-6
8.345549962303229e-6,9.553655782104765e-6,1.2041080976687367e-5
6.964047948775884e-5,3.196454641602446e-5,2.803449435314003e-5
2.9036908549403335e-6,5.979509735795858e-6,9.11995323790727e-6
3.330490243404414e-5,2.773182653493635e-5,1.9176167019225687e-5
2.082284177715204e-5,1.1128621895870171e-5,2.1352737219776272e-5
5.528636441269321e-6,5.026742236464262e-6,1.576781826490264e-5
1.5240340170122715e-5,1.8030575998769682e-5,9.875789836982769e-6
1.7804628913667554e-5,6.276890188820144e-5,6.4771696329073895e-6
1.8361617884243234e-5,2.5555554875294375e-5,3.919820755567727e-6
2.0938761335187804e-5,2.4735928104498476e-5,4.378398413752716e-5
2.079876940527117e-5,2.3909233405823244e-6,2.1791072036086303e-5
1.3321762905282312e-6,3.1922569238621155e-5,1.1183550407709496e-5
2.39329595073329e-5,1.1789185125458425e-5,5.763506484944223e-7
5.3252045339614534e-5,7.527966572132029e-7,2.6136607644381533e-5
7.0178159253046795e-6,4.146594555711016e-5,2.588971934147763e-5
2.066291560894024e-5,1.1667661450184313e-5,2.20536891663992e-5
1.824308465215482e-5,3.116738069086396e-5,4.739614341914337e-6
2.4377748139080276e-5,3.3335411582147424e-5,1.4981793620826697e-5
2.424702729675724e-5,1.890013603687581e-5,1.4307845837780808e-5
2.5394888705392797e-6,2.896292817090045e-5,1.6489302766400995e-5
2.787324317346518e-7,3.015853717109883e-5,9.2633199654933e-8
7.566286781908289e-6,9.734198477099387e-6,7.423744854268838e-6
1.6843283892183258e-5,7.187974308977926e-7,2.80720918934166e-5
8.748808370878811e-7,3.278643543775868e-5,3.5071307136889594e-5
6.487460375004912e-5,1.123616278941176e-5,2.8483646631271398e-5
2.2404046329986686e-5,6.472321913413785e-7,4.2665453728105515e-5
2.0469969693792318e-5,5.8808734882164565e-5,6.449721380154424e-6
1.026990081329896e-5,5.434560988954674e-6,3.02692639759572e-5
6.073188231442783e-6,2.335657395471913e-5,8.014307090257659e-6
2.5600919436904456e-5,9.69041938351883e-6,2.9466830155884887e-5
1.1852576275161958e-5,2.5035994675711412e-5,6.261139187942339e-6
1.92821536640714e-5,2.686509063429062e-6,2.5069071572084793e-5
1.8050205091200074e-5,3.272770536983579e-5,1.2286288747444234e-5
1.4528434511438481e-5,1.2435854283646484e-5,9.249127075867106e-6
1.5649298981601374e-5,2.170298067173032e-5,1.3177150348734503e-5
3.749639171678639e-6,2.397489921534455e-5,2.0116705859998657e-5
2.458634129377963e-5,2.816548367059486e-5,2.6825045647872887e-5
4.798357117242358e-5,2.2058141222972706e-5,1.4711058441149078e-5
2.3983305583491753e-5,6.679856505806903e-5,3.14316527528277e-5
2.314752882794945e-5,2.3586347063921467e-5,6.63039492571146e-6
1.6611448766112918e-5,8.830122100139146e-6,2.3019396637643598e-5
2.1062869218908824e-5,7.874137087817871e-6,1.0971331049018186e-5
2.4058353476019653e-5,9.091583764918242e-6,1.6320806861717247e-5
6.97268300755794e-5,1.582099647010249e-5,4.9795200585272527e-5
2.3070121591845317e-5,1.1687561248279144e-6,4.264802147356873e-5
2.5431456221971996e-5,2.7057610402777266e-5,2.0758688397946266e-5
1.3114563994119982e-5,2.8866371457303618e-5,7.550212823821034e-6
